,titles
0,Close
1,Perfect Days
2,Aftersun
3,In The Mood For Love
4,My Life As A Courgette
5,Portrait Of A Lady On Fire
6,Where Is The Friend's House?
7,Leila's Brothers
8,The Godfather
9,The Gleaners And I
10,Drive My Car
11,The 400 Blows
12,Chungking Express
13,2001: A Space Odyssey
14,"Paris, Texas"
15,La Haine
16,Night And Fog
17,Seven Samurai
18,Apocalypse Now
19,Stalker
20,La Jetée
21,"So Long, My Son"
22,Persona
23,All About My Mother
24,Pulp Fiction
25,The Beaches Of Agnès
26,Three Colors: Red
27,The Godfather: Part Ii
28,Spirited Away
29,Bicycle Thieves
30,Modern Times
31,Fantastic Mr. Fox
32,Festen
33,Meeting The Man: James Baldwin In Paris
34,8½
35,Blue
36,The Worst Person In The World
37,Taxi Driver
38,Three Colors: Blue
39,"Love, Deutschmarks And Death"
40,Dr. Strangelove
41,Ran
42,A Clockwork Orange
43,Citizen Kane
44,Laurence Anyways
45,A Trip To The Moon
46,Tripping With Nils Frahm
47,Come And See
48,Parasite
49,Rear Window
50,The Shining
51,Psycho
52,Incendies
53,Wings Of Desire
54,Salut Les Cubains
55,Vertigo
56,The Seventh Seal
57,Fantastic Planet
58,I Like Life A Lot
59,The Great Dictator
60,Great Freedom
61,A Separation
62,Happy Together
63,City Lights
64,Winter Sleep
65,The Mirror
66,Fallen Angels
67,Sans Soleil
68,Taste Of Cherry
69,Mulholland Drive
70,Tokyo Story
71,Cléo From 5 To 7
72,"The Good, The Bad And The Ugly"
73,Holy Spider
74,Oldboy
75,Mr. Bachmann And His Class
76,The Handmaiden
77,Head-on
78,Daguerréotypes
79,12 Angry Men
80,Sunset Blvd.
81,Sweet Bean
82,M
83,Man With A Movie Camera
84,Another Round
85,The Sacrifice
86,The Lunchbox
87,The Salt Of The Earth
88,Fight Club
89,The Hunt
90,Nights Of Cabiria
91,Ciro & Me
92,Frances Ha
93,Harakiri
94,Something Useful
95,Ryuichi Sakamoto: Coda
96,Wild Strawberries
97,The General
98,Blade Runner
99,Andrei Rublev
100,The Kid
101,Honeyland
102,Mysterious Skin
103,Sátántangó
104,Once Upon A Time In Anatolia
105,City Of God
106,Black Panthers
107,Shiva Baby
108,One Flew Over The Cuckoo's Nest
109,The Passion Of Joan Of Arc
110,The Double Life Of Véronique
111,Autumn Sonata
112,Metropolis
113,Pixote: The Law Of The Weakest
114,Rashômon
115,Decision To Leave
116,The King Of Comedy
117,Vagabond
118,Persepolis
119,The Father
120,Dogville
121,A Short Film About Love
122,Goodfellas
123,Cold War
124,Fallen Leaves
125,Shoplifters
126,No Dogs Or Italians Allowed
127,A Woman Under The Influence
128,All Of Me
129,Once Upon A Time In America
130,The Piano Teacher
131,There Will Be Blood
132,Meshes Of The Afternoon
133,Hiroshima Mon Amour
134,La Dolce Vita
135,The Human Voice
136,This Much I Know To Be True
137,Mommy
138,Faces Places
139,Volver
140,Amour
141,Seduce Me: Noah's Ark
142,Scenes With Beans
143,Along The Coast
144,Le Trou
145,My Neighbor Totoro
146,A Man Escaped
147,A Season In Hakkari
148,Carol
149,Grave Of The Fireflies
150,Ikiru
151,Memories Of Murder
152,Princess Mononoke
153,Sansho The Bailiff
154,My Child
155,The Battle Of Algiers
156,The Recorder Exam
157,Women On The Verge Of A Nervous Breakdown
158,Once Upon A Time In The West
159,Vortex
160,The Third Man
161,La Notte
162,Sunrise: A Song Of Two Humans
163,The Big Lebowski
164,Dancer In The Dark
165,The Elephant Man
166,Twin Peaks (alternate International Pilot)
167,Wasp
168,Eternal Sunshine Of The Spotless Mind
169,The Painter And The Thief
170,"Oslo, August 31st"
171,Casablanca
172,And Then We Danced
173,Woman In The Dunes
174,Fargo
175,The Man Without A Past
176,Josep
177,Talk To Her
178,Chinatown
179,Raging Bull
180,Fanny And Alexander (theatrical Version)
181,Ninjababy
182,Petite Maman
183,Tempestad
184,First Cow
185,Cave Of Forgotten Dreams
186,The Wild Pear Tree
187,"Women Reply: Our Bodies, Our Sex"
188,Breaking The Waves
189,Sorry We Missed You
190,Searching For Sugar Man
191,Mustang
192,Hearts Of Darkness: A Filmmaker's Apocalypse
193,2046
194,Songs My Brothers Taught Me
195,Breathless
196,The Dark Knight Rises
197,Werckmeister Harmonies
198,Annie Hall
199,Reservoir Dogs
200,Joyland
201,Ugetsu
202,...a Valparaíso
203,Close-up
204,Limbo
205,Directed By Andrei Tarkovsky
206,Brother's Keeper
207,Microhabitat
208,Heat
209,Alien
210,Secrets & Lies
211,Hit The Road
212,A Regular Woman
213,Solaris
214,No Country For Old Men
215,"Jeanne Dielman, 23, Quai Du Commerce, 1080 Bruxelles"
216,Brazil
217,"Like Father, Like Son"
218,The Servant
219,The Play
220,Playtime
221,Beanpole
222,Phoenix
223,A Short Film About Killing
224,The Color Of Pomegranates
225,Eternity And A Day
226,Woman At War
227,Buena Vista Social Club
228,Cries And Whispers
229,Funeral Parade Of Roses
230,High & Low - John Galliano
231,Yi Yi
232,Through The Olive Trees
233,Alcarràs
234,About Love
235,Wadjda
236,I'm In Love With Pippa Bacca
237,The Holy Mountain
238,Lucky
239,Ernest & Celestine
240,Paths Of Glory
241,Full Metal Jacket
242,Tokyo Sonata
243,Late Spring
244,Alice In The Cities
245,For Sama
246,The Gold Rush
247,Kedi
248,Happening
249,I Am Not Your Negro
250,As I Was Moving Ahead Occasionally I Saw Brief Glimpses Of Beauty
251,Your Turn
252,Night On Earth
253,Grand Illusion
254,Ordet
255,Nostalghia
256,Hello My Dear
257,The Red Shoes
258,Piripkura
259,The Five Devils
260,The Skeleton Of Mrs. Morales
261,Anatomy Of A Fall
262,"Rome, Open City"
263,We Need To Talk About Kevin
264,Sherlock Jr.
265,The Invisible Life Of Euridice Gusmão
266,Wind
267,The Black Power Mixtape 1967-1975
268,The Settlers
269,Uncle
270,The Great Beauty
271,A Brighter Summer Day
272,Pather Panchali
273,Prayers For The Stolen
274,The Night Of The Hunter
275,Yojimbo
276,Play It Safe
277,Au Hasard Balthazar
278,Melancholia
279,"Goodbye, Children"
280,The Return
281,Army Of Shadows
282,High And Low
283,Charade
284,Happy As Lazzaro
285,The Green Ray
286,Summer 1993
287,To Be Or Not To Be
288,Farewell Amor
289,Le Bonheur
290,One More Time With Feeling
291,Better Days
292,Double Indemnity
293,Love Meetings
294,Songs For Drella
295,Vicenta
296,The Apartment
297,Time To Love
298,Cinema Paradiso
299,The Balcony Movie
300,Lost Highway
301,Everybody Loves Jeanne
302,The White Ribbon
303,Nest
304,Meeting Jim
305,Jules And Jim
306,My Uncle
307,The Exterminating Angel
308,Charulata
309,Story Of Women
310,North By Northwest
311,"Aguirre, The Wrath Of God"
312,Blue Velvet
313,The Wolf House
