,0
0,1000
1,51265
2,668
3,22839
4,1265
5,17866
6,1000
7,12584
8,996
9,11281
10,1602
11,9990
12,591
13,9906
14,940
15,9794
16,11356
17,8479
18,1568
19,8416
20,543
21,7556
22,696
23,7319
24,2718
25,5881
26,252
27,5850
28,45
29,5494
30,1062
31,5464
32,1339
33,5251
34,164
35,5229
36,980
37,5172
38,537
39,5057
40,433
41,5043
42,490
43,4330
44,454
45,4273
46,2457
47,4186
48,470
49,3793
50,624
51,3755
52,1001
53,3603
54,1497
55,3561
56,839
57,3467
58,357
59,3433
60,200
61,3378
62,488
63,3335
64,210
65,3306
66,1648
67,3117
68,500
69,3011
70,197
71,3009
72,136
73,2929
74,64
75,2812
76,439
77,2807
78,123
79,2700
80,972
81,2667
82,106
83,2579
84,735
85,2569
86,984
87,2433
88,468
89,2431
90,350
91,2426
92,369
93,2376
94,565
95,2363
96,360
97,2306
98,1448
99,2292
100,100
101,2282
102,214
103,2279
104,787
105,2246
106,328
107,2191
108,486
109,2153
110,259
111,2150
112,110
113,2138
114,3801
115,1987
116,315
117,1957
118,103
119,1954
120,401
121,1944
122,1615
123,1931
124,1265
125,1898
126,1383
127,1886
128,539
129,1840
130,249
131,1778
132,436
133,1772
134,367
135,1737
136,149
137,1714
138,157
139,1689
140,110
141,1644
142,151
143,1632
144,140
145,1626
146,233
147,1601
148,222
149,1593
150,1698
151,1561
152,603
153,1504
154,1006
155,1502
156,250
157,1499
158,117
159,1492
160,294
161,1480
162,831
163,1473
164,174
165,1427
166,888
167,1419
168,95
169,1402
170,48
171,1391
172,396
173,1373
174,581
175,1360
176,1002
177,1358
178,100
179,1329
180,1518
181,1324
182,753
183,1317
184,1274
185,1314
186,521
187,1292
188,394
189,1289
190,245
191,1222
192,401
193,1215
194,525
195,1194
196,673
197,1190
198,346
199,1165
200,155
201,1147
202,101
203,1140
204,71
205,1123
206,279
207,1118
208,1914
209,1117
210,1021
211,1108
212,645
213,1093
214,103
215,1090
216,271
217,1067
218,372
219,1062
220,187
221,1061
222,289
223,1058
224,188
225,1048
226,68
227,1046
228,324
229,1045
230,100
231,1037
232,1563
233,1019
234,1446
235,1015
236,157
237,1013
238,522
239,1008
240,372
241,1005
242,334
243,988
244,115
245,985
246,1007
247,974
248,115
249,964
250,292
251,952
252,4208
253,936
254,100
255,935
256,785
257,924
258,593
259,923
260,1784
261,914
262,161
263,898
264,173
265,897
266,97
267,892
268,212
269,891
270,393
271,876
272,250
273,836
274,476
275,823
276,319
277,820
278,942
279,811
280,332
281,809
282,149
283,806
284,112
285,802
286,119
287,800
288,79
289,786
290,90
291,785
292,860
293,779
294,113
295,777
296,996
297,775
298,202
299,773
300,184
301,770
302,945
303,755
304,447
305,739
306,921
307,738
308,100
309,736
310,286
311,731
312,155
313,718
314,242
315,716
316,265
317,714
318,658
319,710
320,122
321,709
322,214
323,708
324,312
325,706
326,105
327,703
328,250
329,698
330,555
331,693
332,143
333,693
334,85
335,686
336,151
337,680
338,290
339,679
340,609
341,675
342,100
343,674
344,306
345,672
346,1368
347,671
348,125
349,669
350,83
351,668
352,117
353,665
354,212
355,651
356,250
357,651
358,1001
359,647
360,350
361,647
362,1312
363,644
364,291
365,639
366,192
367,638
368,437
369,636
370,133
371,632
372,167
373,629
374,549
375,626
376,149
377,619
378,338
379,618
380,955
381,616
382,166
383,616
384,131
385,616
386,1326
387,614
388,253
389,614
390,44
391,613
392,91
393,608
394,87
395,606
396,2403
397,602
398,282
399,601
400,196
401,591
402,99
403,590
404,672
405,588
406,142
407,584
408,1847
409,581
410,610
411,580
412,5
413,572
414,92
415,571
416,135
417,569
418,100
419,569
420,106
421,568
422,287
423,567
424,599
425,560
426,160
427,557
428,212
429,556
430,300
431,546
432,120
433,540
434,509
435,539
436,407
437,538
438,226
439,538
440,924
441,535
442,1025
443,534
444,369
445,532
446,292
447,529
448,331
449,527
450,310
451,527
452,404
453,525
454,153
455,523
456,146
457,521
458,444
459,520
460,130
461,515
462,165
463,515
464,362
465,513
466,521
467,508
468,315
469,504
470,468
471,503
472,135
473,502
474,1824
475,502
476,142
477,499
478,89
479,499
480,212
481,495
482,458
483,492
484,156
485,490
486,512
487,489
488,333
489,486
490,158
491,486
492,71
493,483
494,1695
495,480
496,1303
497,478
498,50
499,478
500,1229
501,476
502,78
503,475
504,250
505,475
506,979
507,473
508,63
509,473
510,3186
511,469
512,325
513,468
514,273
515,467
516,364
517,464
518,288
519,460
520,398
521,460
522,408
523,458
524,577
525,456
526,272
527,456
528,993
529,455
530,90
531,455
532,270
533,454
534,1307
535,449
536,45
537,448
538,852
539,447
540,701
541,445
542,148
543,443
544,1781
545,441
546,68
547,441
548,250
549,435
550,95
551,434
552,378
553,427
554,11
555,427
556,171
557,425
558,142
559,425
560,96
561,423
562,102
563,420
564,56
565,420
566,670
567,417
568,1947
569,413
570,520
571,412
572,66
573,412
574,217
575,411
576,511
577,408
578,211
579,405
580,138
581,403
582,169
583,401
584,124
585,398
586,384
587,396
588,570
589,396
590,142
591,395
592,402
593,392
594,50
595,391
596,1126
597,387
598,222
599,387
600,310
601,384
602,80
603,384
604,81
605,378
606,81
607,377
608,145
609,377
610,357
611,376
612,42
613,373
614,384
615,371
616,181
617,368
618,313
619,364
620,363
621,362
622,274
623,361
624,170
625,359
626,410
627,355
628,622
629,355
630,103
631,355
632,73
633,355
634,168
635,352
636,100
637,352
638,416
639,352
640,662
641,351
642,364
643,350
644,96
645,350
646,206
647,349
648,52
649,348
650,245
651,346
652,163
653,346
654,140
655,346
656,430
657,344
658,907
659,343
660,100
661,343
662,542
663,340
664,706
665,339
666,236
667,339
668,33
669,339
670,61
671,339
672,2561
673,337
674,316
675,337
676,242
677,336
678,100
679,335
680,108
681,334
682,10
683,334
684,266
685,334
686,312
687,333
688,155
689,333
690,39
691,333
692,69
693,326
694,35
695,326
696,280
697,325
698,118
699,323
700,247
701,322
702,138
703,322
704,91
705,321
706,171
707,320
708,431
709,319
710,12193
711,318
712,3169
713,317
714,345
715,316
716,215
717,316
718,50
719,316
720,18
721,315
722,87
723,314
724,193
725,313
726,336
727,313
728,217
729,313
730,125
731,313
732,73
733,311
734,523
735,309
736,100
737,309
738,81
739,309
740,98
741,308
742,1536
743,308
744,140
745,307
746,55
747,305
748,55
749,305
750,585
751,303
752,1424
753,301
754,498
755,300
756,1817
757,298
758,102
759,298
760,224
761,298
762,1310
763,298
764,199
765,296
766,287
767,296
768,160
769,294
770,229
771,292
772,255
773,292
774,153
775,292
776,122
777,292
778,1001
779,290
780,314
781,290
782,64
783,289
784,61
785,289
786,90
787,286
788,536
789,286
790,433
791,284
792,308
793,284
794,74
795,283
796,98
797,283
798,65
799,281
800,151
801,279
802,386
803,279
804,55
805,279
806,92
807,279
808,100
809,278
810,183
811,277
812,216
813,277
814,755
815,275
816,560
817,274
818,37
819,274
820,776
821,273
822,70
823,273
824,11980
825,273
826,100
827,272
828,265
829,272
830,87
831,271
832,100
833,271
834,69
835,271
836,229
837,270
838,100
839,270
840,113
841,269
842,72
843,269
844,54
845,269
846,953
847,268
848,211
849,268
850,137
851,268
852,292
853,266
854,128
855,265
856,30
857,265
858,81
859,263
860,275
861,262
862,1002
863,261
864,84
865,260
866,577
867,260
868,49
869,259
870,129
871,259
872,225
873,259
874,217
875,258
876,227
877,258
878,96
879,258
880,517
881,257
882,189
883,255
884,100
885,255
886,93
887,253
888,50
889,252
890,74
891,252
892,101
893,251
894,1051
895,250
896,286
897,250
898,230
899,249
900,108
901,249
902,85
903,247
904,126
905,247
906,239
907,247
908,3199
909,246
910,130
911,245
912,2119
913,245
914,184
915,245
916,717
917,244
918,396
919,244
920,35
921,242
922,132
923,241
924,35
925,239
926,122
927,239
928,210
929,239
930,130
931,239
932,82
933,239
934,1232
935,239
936,684
937,237
938,1449
939,237
940,625
941,237
942,141
943,237
944,403
945,237
946,120
947,236
948,596
949,235
950,111
951,233
952,52
953,233
954,142
955,233
956,52
957,231
958,160
959,231
960,21
961,231
962,679
963,230
964,560
965,229
966,309
967,229
968,16
969,229
970,377
971,229
972,100
973,228
974,179
975,228
976,112
977,227
978,270
979,227
980,104
981,227
982,232
983,227
984,714
985,225
986,125
987,224
988,96
989,223
990,16
991,221
992,94
993,220
994,11
995,220
996,475
997,219
998,20
999,219
1000,386
1001,219
1002,406
1003,219
1004,67
1005,217
1006,1260
1007,216
1008,206
1009,215
1010,100
1011,214
1012,103
1013,214
1014,231
1015,213
1016,27
1017,212
1018,89
1019,211
1020,207
1021,211
1022,2079
1023,210
1024,84
1025,210
1026,107
1027,210
1028,232
1029,209
1030,100
1031,209
1032,55
1033,207
1034,81
1035,207
1036,51
1037,207
1038,1391
1039,206
1040,404
1041,206
1042,266
1043,206
1044,149
1045,205
1046,100
1047,205
1048,425
1049,205
1050,191
1051,205
1052,277
1053,205
1054,53
1055,205
1056,465
1057,205
1058,100
1059,205
1060,3227
1061,204
1062,32
1063,204
1064,217
1065,204
1066,323
1067,203
1068,214
1069,203
1070,762
1071,202
1072,42
1073,202
1074,118
